Country,Population2023
Afghanistan,42239854
Albania,2832439
Algeria,45606480
American Samoa,43914
Andorra,80088
Angola,36684202
Anguilla,15899
Antigua and Barbuda,94298
Argentina,45773884
Armenia,2777970
Aruba,106277
Australia,26439111
Austria,8958960
Azerbaijan,10412651
Bahamas,412623
Bahrain,1485509
Bangladesh,172954319
Barbados,281995
Belarus,9498238
Belgium,11686140
Belize,410825
Benin,13712828
Bermuda,64069
Bhutan,787424
Bolivia,12388571
Bosnia and Herzegovina,3210847
Botswana,2675352
Brazil,216422446
Bulgaria,6687717
Burkina Faso,23251485
Burundi,13238559
Cabo Verde,598682
Cambodia,16944826
Cameroon,28647293
Canada,38781291
Cayman Islands,69310
Central African Republic,5742315
Chad,18278568
Chile,19629590
China,1425671352
Colombia,52085168
Comoros,852075
Cook Islands,17044
Costa Rica,5212173
Croatia,4008617
Cuba,11194449
Cyprus,1260138
Denmark,5910913
Djibouti,1136455
Dominica,73040
Dominican Republic,11332972
Ecuador,18190484
Egypt,112716598
El Salvador,6364943
Equatorial Guinea,1714671
Eritrea,3748901
Estonia,1322765
Eswatini,1210822
Ethiopia,126527060
Fiji,936375
Finland,5545475
France,64756584
French Guiana,312155
French Polynesia,308872
Gabon,2436566
Gambia,2773168
Georgia,3728282
Germany,83294633
Ghana,34121985
Gibraltar,32688
Greece,10341277
Greenland,56643
Grenada,126183
Guadeloupe,395839
Guam,172952
Guatemala,18092026
Guinea,14190612
Guinea-Bissau,2150842
Guyana,813834
Haiti,11724763
Holy See,518
Honduras,10593798
Hong Kong,7491609
Hungary,10156239
Iceland,375318
India,1428627663
Indonesia,277534122
Iran,89172767
Iraq,45504560
Ireland,5056935
Isle of Man,84710
Israel,9174520
Italy,58870762
Jamaica,2825544
Japan,123294513
Jordan,11337052
Kazakhstan,19606633
Kenya,55100586
Kiribati,133515
Kuwait,4310108
Kyrgyzstan,6735347
Laos,7633779
Latvia,1830211
Lebanon,5353930
Lesotho,2330318
Liberia,5418377
Libya,6888388
Liechtenstein,39584
Lithuania,2718352
Luxembourg,654768
Macao,704149
Madagascar,30325732
Malawi,20931751
Malaysia,34308525
Maldives,521021
Mali,23293698
Malta,535064
Marshall Islands,41996
Martinique,366981
Mauritania,4862989
Mauritius,1300557
Mayotte,335995
Mexico,128455567
Moldova,3435931
Monaco,36297
Mongolia,3447157
Montenegro,626485
Montserrat,4386
Morocco,37840044
Mozambique,33897354
Myanmar,54577997
Namibia,2604172
Nauru,12780
Nepal,30896590
Netherlands,17618299
New Caledonia,292991
New Zealand,5228100
Nicaragua,7046310
Niger,27202843
Nigeria,223804632
Niue,1935
North Korea,26160821
Northern Mariana Islands,49796
Norway,5474360
Oman,4644384
Pakistan,240485658
Palau,18058
Panama,4468087
Papua New Guinea,10329931
Paraguay,6861524
Peru,34352719
Philippines,117337368
Poland,41026067
Portugal,10247605
Puerto Rico,3260314
Qatar,2716391
Romania,19892812
Russia,144444359
Rwanda,14094683
Saint Barthelemy,10994
Saint Helena,5314
Saint Lucia,180251
Samoa,225681
San Marino,33642
Saudi Arabia,36947025
Senegal,17763163
Seychelles,107660
Sierra Leone,8791092
Singapore,6014723
Sint Maarten,44222
Slovakia,5795199
Slovenia,2119675
Solomon Islands,740424
Somalia,18143378
South Africa,60414495
South Korea,51784059
South Sudan,11088796
Spain,47519628
Sri Lanka,21893579
Sudan,48109006
Suriname,623236
Sweden,10612086
Switzerland,8796669
Syria,23227014
Tajikistan,10143543
Thailand,71801279
Timor-Leste,1360596
Togo,9053799
Tokelau,1893
Tonga,107773
Trinidad and Tobago,1534937
Tunisia,12458223
Turkey,85816199
Turkmenistan,6516100
Tuvalu,11396
Uganda,48582334
Ukraine,36744634
United Arab Emirates,9516871
Uruguay,3423108
Uzbekistan,35163944
Vanuatu,334506
Venezuela,28838499
Western Sahara,587259
Yemen,34449825
Zambia,20569737
Zimbabwe,16665409
